sample,contig,length,plasmid_score,chrom_score,label
.,Contig_89_300.009,719,0.20590053,0.90706104,chromosome
.,Contig_8_147.654,31894,0.0139218895,0.9921381,chromosome
.,Contig_90_100.313,8604,0.98161066,0.024568604,plasmid
.,Contig_91_104.313,1027,0.9833131,0.027124466,plasmid
.,Contig_92_147.625,99289,0.006526551,0.9962641,chromosome
.,Contig_93_286.652,1255,0.98250246,0.110146746,plasmid
.,Contig_94_1326.31,33883,0.9999665,0.00037003536,plasmid
.,Contig_95_146.622,208945,0.002352252,0.998736,chromosome
.,Contig_96_126.116,8568,0.014990184,0.99611413,chromosome
.,Contig_97_128.274,24387,0.05256276,0.9656681,chromosome
.,Contig_98_145.577,20856,0.0073225065,0.99631417,chromosome
.,Contig_99_163.141,37990,0.014926618,0.99052984,chromosome
.,Contig_9_135.136,17199,0.018271843,0.9892834,chromosome
.,Contig_105_92.8015:5p:1:23,408,0.04804938,0.99594545,chromosome
.,Contig_105_92.8015:5p:1:25,187,0.068769634,0.99544656,chromosome
.,Contig_105_92.8015:5p:1:34,411,0.044248667,0.99849415,chromosome
.,Contig_105_92.8015:5p:1:35,188,0.058759525,0.9972553,chromosome
.,Contig_105_92.8015:5p:1:36,406,0.048311006,0.99743795,chromosome
.,Contig_13_92.8931:3p:1:4,280,0.85534024,0.27388495,plasmid
.,Contig_13_92.8931:3p:1:5,280,0.85658467,0.2722193,plasmid
.,Contig_13_92.8931:3p:1:8,149,0.96064365,0.18009368,plasmid
.,Contig_13_92.8931:3p:1:10,517,0.963212,0.08486458,plasmid
.,Contig_16_1126.61:5p:1:9,153,0.059640516,0.9945397,chromosome
.,Contig_22_81.8942:3p:1:5,332,0.7672249,0.64791197,ambiguous
.,Contig_22_81.8942:3p:1:6,871,0.5991239,0.95943487,ambiguous
.,Contig_41_135.811:5p:1:6,134,0.022456938,0.9963563,chromosome
.,Contig_43_413.596:3p:1:9,265,0.06544361,0.98601127,chromosome
.,Contig_48_287.744:5p:1:3,711,0.6274859,0.5879875,ambiguous
.,Contig_48_287.744:5p:1:4,711,0.6267911,0.58902216,ambiguous
.,Contig_61_144.264:5p:1:2,127,0.03614232,0.99634343,chromosome
.,Contig_70_319.092:3p:1:3,168,0.16312654,0.9570905,chromosome
.,Contig_70_319.092:3p:1:4,168,0.16536547,0.9573659,chromosome
.,Contig_73_1097.52:5p:1:3,198,7.2817846e-07,1.0,chromosome
.,Contig_73_1097.52:5p:1:8,215,1.3394357e-06,1.0,chromosome
.,Contig_73_1097.52:5p:1:9,234,9.658274e-07,1.0,chromosome
.,Contig_73_1097.52:5p:1:10,290,1.7434992e-06,0.99999994,chromosome
.,Contig_73_1097.52:5p:1:11,176,9.2838275e-07,1.0,chromosome
.,Contig_73_1097.52:5p:1:13,417,7.693142e-06,0.9999999,chromosome
.,Contig_73_1097.52:5p:1:14,506,1.4732921e-06,1.0,chromosome
.,Contig_73_1097.52:5p:1:15,417,1.5229107e-05,0.9999998,chromosome
.,Contig_73_1097.52:5p:1:20,309,5.8320365e-06,0.99999964,chromosome
.,Contig_73_1097.52:5p:1:21,524,5.0429367e-06,0.9999998,chromosome
.,Contig_73_1097.52:5p:1:23,541,1.4170046e-05,0.99999964,chromosome
.,Contig_73_1097.52:5p:1:24,141,5.8095993e-06,0.9999998,chromosome
.,Contig_73_1097.52:5p:1:26,220,8.780642e-07,1.0,chromosome
.,Contig_76_993.837:3p:1:2,279,1.2638914e-06,1.0,chromosome
.,Contig_76_993.837:3p:1:3,228,1.9816194e-05,0.9999997,chromosome
.,Contig_76_993.837:3p:1:5,278,2.459076e-06,0.99999994,chromosome
.,Contig_76_993.837:3p:1:6,373,7.6449385e-07,1.0,chromosome
.,Contig_76_993.837:3p:1:7,889,0.0013867569,0.9999333,chromosome
.,Contig_92_147.625:5p:1:2,309,0.048449475,0.9955363,chromosome
.,Contig_94_1326.31:5p:1:4,161,0.9951787,0.5506001,ambiguous
