sample,contig,length,plasmid_score,chrom_score,label
.,Contig_22_81.8942:3p:1:6,871,0.49080718,0.9903729,chromosome
.,Contig_41_135.811:5p:1:6,134,0.49080688,0.9761268,chromosome
.,Contig_43_413.596:3p:1:9,265,0.49081057,0.9528434,chromosome
.,Contig_48_287.744:5p:1:3,711,0.7980825,0.4903556,plasmid
.,Contig_48_287.744:5p:1:4,711,0.7985257,0.49035463,plasmid
.,Contig_61_144.264:5p:1:2,127,0.49080706,0.98625207,chromosome
.,Contig_70_319.092:3p:1:3,168,0.5428851,0.52143764,ambiguous
.,Contig_70_319.092:3p:1:4,168,0.5451571,0.5214557,ambiguous
.,Contig_73_1097.52:5p:1:3,198,0.49081537,0.99969935,chromosome
.,Contig_73_1097.52:5p:1:8,215,0.49081847,0.99931264,chromosome
.,Contig_73_1097.52:5p:1:9,234,0.49080694,0.9995365,chromosome
.,Contig_73_1097.52:5p:1:10,290,0.49080682,0.9994792,chromosome
.,Contig_73_1097.52:5p:1:11,176,0.49081728,0.9996996,chromosome
.,Contig_73_1097.52:5p:1:13,417,0.49080682,0.9996833,chromosome
.,Contig_73_1097.52:5p:1:14,506,0.49080682,0.9995568,chromosome
.,Contig_73_1097.52:5p:1:15,417,0.49080682,0.9997603,chromosome
.,Contig_73_1097.52:5p:1:20,309,0.49080682,0.9978601,chromosome
.,Contig_73_1097.52:5p:1:21,524,0.49080688,0.99823654,chromosome
.,Contig_73_1097.52:5p:1:23,541,0.4908263,0.9979714,chromosome
.,Contig_73_1097.52:5p:1:24,141,0.49080682,0.9996028,chromosome
.,Contig_73_1097.52:5p:1:26,220,0.4908078,0.99923784,chromosome
.,Contig_76_993.837:3p:1:2,279,0.4937464,0.9969809,chromosome
.,Contig_76_993.837:3p:1:3,228,0.6524405,0.98441374,ambiguous
.,Contig_76_993.837:3p:1:5,278,0.49508983,0.99039423,chromosome
.,Contig_76_993.837:3p:1:6,373,0.49085742,0.9994321,chromosome
.,Contig_76_993.837:3p:1:7,889,0.7880932,0.8836409,ambiguous
.,Contig_92_147.625:5p:1:2,309,0.49080688,0.9862629,chromosome
.,Contig_94_1326.31:5p:1:4,161,0.9999832,0.4901541,plasmid
